measuredItemPsd,Commodities,measuredItemCPC
813100,"Meal, Soybean",21920
813101,"Meal, Soybean (Local)",21920
813200,"Meal, Peanut",21920
813300,"Meal, Cottonseed",21920
813500,"Meal, Sunflowerseed",21920
813600,"Meal, Rapeseed",21920
813700,"Meal, Copra",21920
813800,"Meal, Palm Kernel",21920
814200,"Meal, Fish",21291
4232000,"Oil, Soybean",2161
4232001,"Oil, Soybean (Local)",2161
4233000,"Oil, Cottonseed",2168
4234000,"Oil, Peanut",2162
4235000,"Oil, Olive",2167
4236000,"Oil, Sunflowerseed",2163
4239100,"Oil, Rapeseed",2163
4242000,"Oil, Coconut",2166
4243000,"Oil, Palm",2165
4244000,"Oil, Palm Kernel",21691.14
