m49,usdaCode
4,AF
8,AL
12,AG
24,AO
32,AR
51,AM
36,AS
40,AU
31,AJ
50,BG
52,BB
112,BO
204,DM
68,BL
70,BK
76,BR
100,BU
116,CB
120,CM
124,CA
140,CT
148,CD
152,CI
170,CO
188,CS
191,HR
192,CU
196,CY
203,EZ
208,DA
214,DR
218,EC
818,EG
222,ES
233,EN
231,ET
242,FJ
246,FI
250,FR
270,GA
268,GG
288,GH
300,GR
320,GT
324,GU
624,PU
328,GY
332,HA
340,HO
344,HK
348,HU
352,IC
356,IN
360,ID
364,IR
368,IZ
372,EI
376,IS
380,IT
388,JM
392,JA
400,JO
398,KZ
404,KE
414,KU
417,KG
428,LG
422,LE
430,LI
434,LY
440,LH
450,MA
454,MI
458,MY
466,ML
470,MT
478,MR
480,MP
484,MX
498,MD
504,MO
508,MZ
528,NL
554,NZ
558,NU
562,NG
566,NI
578,NO
512,MU
586,PK
591,PN
598,PP
600,PA
604,PE
608,RP
616,PL
620,PO
642,RO
643,RS
646,RW
882,WS
682,SA
686,SG
688,RB
694,SL
702,SN
703,LO
705,SI
706,SO
710,SF
724,SP
144,CE
729,SU
740,NS
752,SW
756,SZ
760,SY
762,TI
834,TZ
764,TH
768,TO
780,TD
788,TS
792,TU
795,TX
800,UG
804,UP
784,TC
826,UK
840,US
858,UY
860,UZ
862,VE
704,VM
887,YM
894,ZA
716,RH
58,BE
60,BD
854,UV
104,MM
156,CN
178,CG
384,IV
234,FO
200,CZ
890,YO
278,GC
276,GM
280,GE
408,KN
410,KS
807,MK
530,"""NA"""
540,NC
891,SR
158,TW
1095,E2
NA,E4
156,CH
