country,year2003,year2004,year2005,year2006,year2007,year2008,year2009,year2010,year2011,year2012,year2013,year2014
EU (28 countries),239.1,265.9,479.9,740.8,1035.5,1512.3,1706.1,1965.3,1749.2,2032.5,2549.8,2294.2
Euro area (19 countries),147.9,133.6,292.4,500,751.8,1125.6,1285.8,1409.9,1348.9,1376.8,1771.6,1576.9
Belgium,0,0,0,0,0,10.2,38.2,50,132.9,155.7,155.2,165.2
Bulgaria,0,0,0,0,0,0,0,0,0,0,8,13.2
Czech Republic,0,0,0,1.2,17.1,38.8,57.8,61,35.1,65.9,67.4,67.1
Denmark,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,68.1,221.2,206.4,290.6,370.3,398,357.5,393.7,405.7,449.4
Estonia,0,0,0,0,0,0,0,0,0,0,0,0
Ireland,0,0,0,0.6,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0
Spain,98.5,73.9,113.1,114.4,218.5,173.8,234.7,268.1,235.2,193.4,231.2,247.3
France,49.4,51.8,102.7,146.8,270.2,499,456.9,476,427.3,419.3,503.4,492.9
Croatia,0,0,0,0,0,0,0,0,0,0,0,0
Italy,0,0,0,0,0,35.6,41.3,71.8,63.9,57.8,51,0.6
Cyprus,:,:,:,0,0,0,0,0,0,0,0,0
Latvia,0,0,0,3.2,7.4,7.4,8.7,9.5,1.3,1,1.7,0
Lithuania,0,1.2,4.7,6.4,9.6,11.1,15.3,23.5,11.9,13.3,14.6,6.2
Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,0,0,2.4,10.7,9.1,39.5,41.4,15.4,15.1,152.7,180,185.8
Malta,0,0,0,0,0,0,0,0,0,0,0,0
Netherlands,0,6.7,3.8,7.5,7,4.5,0,0,0,0,267,0
Austria,0,0,0,0,20.4,55.2,68.3,60.3,58.2,81.2,74.7,148.1
Poland,28.2,13.4,57.4,84.6,66.5,58.7,81.2,97.4,87.1,110,121.8,92.1
Portugal,0,0,0,0,0,0,0,0,0,0,0,0
Romania,0,0,0,0,0,0,2.8,35.4,34.8,42.5,26.5,7.7
Slovenia,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia,0,0,0,0,12.2,37.9,50.5,49.3,54.1,51.9,52.8,54.3
Finland,0,0,0,0,0,0.3,1.6,3.5,6.6,9.5,14.3,12.9
Sweden,63,118.9,127.7,144.3,182.2,214.1,198.4,203.1,213.2,206.4,107.9,88.6
United Kingdom,0,0,0,0,8.8,35.6,38.7,143,15,78.2,266.7,262.7
Iceland,0,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein,:,:,:,:,:,:,:,:,:,:,:,:
Norway,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,:,:,:,:,:,:,:,:,:,:,:,:
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0
"Former Yugoslav Republic of Macedonia, the",0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0
Serbia,0,0,0,0,0,0,0,0,0,0,0,0
Turkey,0,0,0,0,0,6.4,5.8,0,5.1,5.3,22.9,35.4
Kosovo (under United Nations Security Council Resolution 1244/99),0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,0,0,0,0,0
Ukraine,0,0,0,0,0,0,0,0,0,0,45,17.2
